subject,property,object,question
Q384,R19,Q1396953,Who is from skopje
Q7150315,P413,Q336286,what position does paul donnelly play?
Q12078,R509,Q4128243,Name someone who died of cancer
Q190679,R144,Q1421609,What is captain america an adaptation of
Q679632,P175,Q45188,Who was the artist behind mylo xyloto
Q1000679,R19,Q16216839,who was born in wokingham?
Q1160530,P119,Q216344,where was the body of daniel sickles buried
Q466196,P50,Q34981,who was the author of the end of eternity
Q1044925,P397,Q525,what celestial body does 4689 donn orbit?
Q1393862,P21,Q6581072,What is the gender of patsy rowlands?
Q17004041,P364,Q1860,what was the language spoken in the film intersexion?
Q1048902,R413,Q5085707,who plays a pitcher in baseball
Q1757,R19,Q1806663,Name a person who was born in helsinki
Q727,R19,Q2478028,which former dutch footballer was born in amsterdam
Q183504,R136,Q5039695,whats the name of an indie rock performer
Q703229,P413,Q193592,what is a position played by martin wagner
Q19601,P115,Q895151,oldham athletic a.f.c.  plays in what arena
Q380918,P404,Q6895044,What is one of the gameplay modes in call of duty: black ops ii?
Q294999,P19,Q1004192,where was what play did  born
Q597079,P136,Q846224,what type of game is blazblue: calamity trigger released in?
Q3125063,P272,Q1530721,who was the production company for the film rip!: a remix manifesto
Q455953,P19,Q42000,where was jocelyne lagarde born 
Q4715825,P21,Q6581097,what is aleksei kostenko's gender
Q1747987,P59,Q9253,which constellation is hd 157753 a part of
Q930865,P19,Q1183864,Where was george karl born?
Q28389,R106,Q7060835,who's a notable screenwriter from tel aviv
Q261817,P495,Q142,What country is the movie À propos de nice from?
Q43274,P140,Q82708,"what is charles, prince of wales's religion "
Q33999,R106,Q301473,Name a woman who works as an actress
Q208850,R404,Q2109752,What is a game that uses single-player mode?
Q2273258,P27,Q34,Where is masse broberg from
Q5311876,P19,Q183296,where was dudley foster born
Q311319,R57,Q998377,Who was the director of frank oz
Q3197233,P21,Q6581097,what gender is kinya aikawa
Q785925,P19,Q2966,Where was gerardus vossius place of birth 
Q1772650,P17,Q155,What country is pato branco in?
Q3481761,P27,Q30,where is sheila larken from
Q12152,R509,Q153332,Whose death was caused by myocardial infarction?
Q1525403,P21,Q6581097,george ardisson is what gender?
Q331101,P19,Q18125,where was paul shipton born
Q16,R17,Q1989,What is a state in canada
Q233892,R19,Q1170417,Name someone who was born in rockford
Q95159,P364,Q5287,the audio of tetsujin nijūhachi-gō: hakuchū no zangetsu is in this language.
Q234458,P27,Q159,What is the nationality of irina shayk
Q2066600,P264,Q1190562,What label is bushman associated with
Q716592,P20,Q649,where did leone giraldoni die
Q6177755,P27,Q30,what is jenna lee's ethnicity?
Q160946,P162,Q2845576,"who is the producer of the film paris, texas"
Q2276742,P21,Q6581097,What gender is spike (buffy the vampire slayer)?
Q271853,P20,Q649,which city did nikolai ostrovsky die
Q2722895,P175,Q202741,who produced the album the hunter?
Q83653,P20,Q43100,where did jahangir die
Q1378100,P27,Q155,what country is ruy guerra from
Q188605,R509,Q6386212,Who died from emphysema?
Q4545156,P21,Q6581097,what biological gender is nicolas provost
Q301791,P20,Q3143067,what city and state in america did  pete candoli pass away
Q649,R19,Q3553607,what is a Russian actor known for his role in d'Artagnan born in moscow 
Q2001,R58,Q181086,which film did stanley kubrick write 
Q1779938,P364,Q1860,which language is primarily used in alice's restaurant
Q7817908,P27,Q408,Where is tom uren from
Q1045100,P31,Q3863,What type of celestial object is 4733 oro
Q1044119,P65,Q930096,where was 4974 elford discovered
Q771295,P27,Q77,what is the nationality of enrique amorim
Q353698,P40,Q532884,who is son of sima yi
Q311580,P1303,Q6607,what instrument did eric johnson play?
Q5474657,P364,Q5287,in what language is the film foundry town
Q88107,P19,Q82765,Where is Olga Desmond's place of birth?
Q9391,P509,Q181257,what illness was suffered by ludwig wittgenstein
Q555910,R162,Q4053119,which project did fred quimby earn a producer credit
Q106428,P272,Q511731,what company did produce apollo 13 (film)
Q455689,P27,Q30,Where is constance towers from
Q718951,P136,Q484641,what genre is bitterblue considered
Q23901,R178,Q978768,which games were developed by codemasters?
Q339228,R123,Q2878527,What is a game published by acclaim entertainment?
Q2405480,R106,Q3106805,Name a voice actor.
Q946457,P21,Q6581097,What is john heitinga's gender?
Q4952351,P21,Q6581097,Which gender is boyd irwin?
Q243041,P136,Q598929,what is the artist siouxsie sioux's genre
Q534599,P20,Q171224,Where did damon knight die?
Q49085,R172,Q471824,who is an african american formal boxer
Q1405367,P20,Q1345,What city did ralph fox pass away?
Q54274,P364,Q1860,what language is spoken in pirates of the caribbean 3
Q152082,P21,Q6581097,what is the gender of ron canada?
Q3850787,P404,Q6895044,What gameplay mode is supported by the computer videogame mashed: fully loaded
Q4610556,R106,Q233377,Who is a person with the profession model (person)?
Q1748,R19,Q380706,Who is a notable person that was born in copenhagen
Q111645,P19,Q1953,What is the birth place of vahan gevorgyan?
Q1475932,P364,Q1860,What language was sybil written in
Q4086723,P50,Q489193,"Who was the author of bill, the galactic hero?"
Q3605812,P21,Q6581097,What gender is adrien robinson?
Q1613358,P19,Q444210,where was doug west born
Q6111803,P413,Q462471,Which position does the basketball player jack cooley play
Q963045,P136,Q130232,what kinds of movie is bad day at black rock
Q463184,P264,Q994175,what label is lavern baker under?
Q191100,P364,Q1860,what is the primary language in the film  transformers 2
Q2473495,P196,Q2179,In which region was the 12539 chaikin discovered?
Q2312518,P364,Q652,which european language is traffic jam spoken in?
Q7137083,P27,Q837,which country is parijat (writer) from
Q6831848,P27,Q30,Which country is michael kenworthy from
Q725965,P21,Q6581097,what gender is marek koterski
Q229908,P19,Q65,Where was katie cassidy born
Q187760,R136,Q525754,what artist is part of the new wave music genre
Q8011870,P19,Q18383,Where was william henry allen's place of birth?
Q868217,R136,Q1202544,what is an example of a sports game
Q6794532,P21,Q6581097,What is max alexander's gender?
Q562127,P19,Q1754,What swedish city was gerard de geer born in?
Q1754820,P364,Q1321,what is the language spoken in nightmare city
Q1892596,P131,Q23099,What is the administrative parent of metropolitan borough of rochdale?
Q826561,R19,Q2823942,which actor was born in halifax?
Q2333517,P106,Q82955,"What profession was baltasar de la cueva, count of castellar?"
Q8002089,P20,Q41185,where is wilhelm beck's death place
Q72792,R162,Q7499388,what movie was produced by hal roach?
Q1747765,P20,Q16559,what city did lou perryman die in?
Q950583,P27,Q34,what is lars eriksson's nationality
Q2293089,P264,Q265169,what label is david vanian with 
Q936037,P58,Q56093,who wrote victor victoria
Q130232,R136,Q2587098,Name a 1971 drama film
Q2458127,P136,Q11366,what genre does american music club belong to
Q229375,R175,Q7341607,what album was created by linda ronstadt
Q1781651,P175,Q2643,who recorded the album living in the material world
Q492264,R136,Q1012658,Who's a musician that writes film scores
Q1619100,P106,Q33999,What profession does Lucy Russell have?
Q141336,R272,Q3547387,What is a film created by mosfilm?
Q37073,R136,Q2500432,what foreign artist sings pop music
Q2004852,P136,Q485395,what type of music does  switchblade symphony create
Q6581097,R21,Q1771345,who is a male character?
Q1040866,P106,Q177220,What is yuriko yamamoto's profession?
Q535320,P136,Q1344,What music genre does xavier montsalvatge perform?
Q1632041,P31,Q3863,what kind of celestial object is 25669 kristinrose?
Q2405480,R106,Q464320,who is known as a voice actor
Q560228,P20,Q2887,where did bartolomé blanche die
Q1198532,P495,Q30,what country was the green glove filmed in?
Q2068615,P136,Q828322,What platform was attack of the killer tomatoes released on
Q197661,P413,Q193592,what position is pavel badea
Q56008,R57,Q320384,what film is  tim burton known for directing
Q518879,P20,Q8717,Where did prince carlos of bourbon-two sicilies die
Q4083874,P607,Q8676,in which conflict did frederick benteen participate in
Q250954,P162,Q3098559,Who produced beloved (film)?
Q83786,R19,Q633248,Who was born in shimla?
Q13476187,P27,Q30,Where is lillian evanti from
Q1747499,P136,Q130232,what kind of film is la commare secca
Q328453,P1303,Q163829,Which instrument did steve helstrip play?
Q4446299,P162,Q311219,"Who produced the film yes, madam"
Q2304429,P57,Q703492,who was the director of the film temple grandin
Q179013,R19,Q70225,Who's a soldier born in altshausen
Q7713819,P495,Q8646,where was the film the angry river filmed in?
Q528484,P413,Q280658,what football position does yevgeni tarasov play
Q2144419,P20,Q1156,where did renu saluja die?
Q4444,P495,Q30,What country was wanted released in?
Q1066827,P175,Q19697,who is the artist on the album overkill (album)
Q1336417,P136,Q11401,What genre of music is mc breed known for?
Q554000,P509,Q12152,What caused the death of martin gabel?
Q483718,P136,Q11365,Foo Fighters produce what genre of music?
Q3516380,R179,Q756574,what film is in the series taxi
Q298371,P21,Q6581097,what is garrett hedlund's gender
Q467957,P264,Q330629,which label is camélia jordana signed to
Q12892,R19,Q351328,Name a person born in Antwerp.
Q1507022,R344,Q2443227,Name a drama film by theodore j. pahle.
Q645928,R136,Q1627661,Name a biographical film.
Q5030929,R172,Q1030566,who is of german canadian ethnicity
Q312042,P19,Q2305059,Where was david dunn born
Q133032,R172,Q242268,What is the name of a pornographic Hungarian film star?
Q1198352,P495,Q30,which nation is the film state of the union located in?
Q280658,R413,Q71128,what is the name of a forward player
Q2065815,P17,Q155,what country is afrânio a second level division of
Q2477881,P27,Q219,What nationality is valeri petrov?
Q269485,P106,Q33999,what does eva marcille do for a living
Q2451413,P404,Q208850,What type of gameplay mode is neon genesis evangelion: iron maiden 2nd
Q263734,R136,Q331733,Who is an artist of nu metal?
Q40930,P40,Q153344,who is one of nefertiti's children
Q200092,R136,Q6821972,which movie is horror
Q313639,R86,Q2133691,what movie did michael nyman create music for?
Q938478,P31,Q3863,What celestial object is 20856 hamzabari classfied as?
Q124008,P1303,Q5994,what is an instrument that urs bühler has played  
Q2060077,P58,Q325396,who wrote the film walk hard: the dewey cox story
Q189936,R175,Q1929802,what album is by jayceon terrell taylor?
Q1215959,P364,Q1860,in which language is sharpe (tv series) spoken
Q463883,P20,Q65,Where did frances marion die?
Q294607,R40,Q236911,"Who is the mother of edward, king of portugal?"
Q12592,R19,Q329939,which footballer was born in canton of nidwalden
Q5214844,R58,Q604155,What is a film that dana stevens wrote?
Q313128,P19,Q656,which russian city was prince paul of yugoslavia born
Q44993,P21,Q6581097,what is max joseph von pettenkofer's gender?
Q8341,R136,Q281341,who is a jazz musician from the 1930s 
Q7300715,P175,Q142636,which female band created the album ready to run?
Q1974278,P27,Q15180,what country is yanina zhejmo from
Q8441466,P27,Q17,Which country does shimako iwai have nationality in
Q14950267,P19,Q1192860,what city was joe burns (american football) born
Q960409,P136,Q1650296,what kind of album is rising force
Q193300,R58,Q179102,what film did osamu tezuka write?
Q4540778,P31,Q3863,what is (10603) 1996 uf4
Q778276,P21,Q6581097,Is su tong female or male?
Q507189,R162,Q108946,which movie was produced by andrew scheinman
Q420822,P112,Q5297927,who is the founder of gap inc.?
Q1059949,P21,Q6581072,What gender is the leslie thompkins
Q24057,P27,Q30,what country is dallas roberts originally from
Q42973,R106,Q712650,What is the name of a person who is an architect
Q54441,R131,Q985354,what city is in strafford county
Q8013305,P607,Q362,Which war did William J. Obrien fight in?
Q211222,P57,Q217324,who directed the film the young and prodigious spivet
Q696855,P58,Q55403,"who is the screenplay writer for merry christmas, mr. lawrence"
Q1321253,P19,Q133073,Where was hamish bond born?
Q24826,R19,Q5218551,Which professional footballer was born in liverpool?
Q15993006,P20,Q38555,where was the death place of dan gerrity
Q648,R19,Q982041,Who was a famous french writer born in lille?
Q1753907,P31,Q3863,what type of object is 25049 christofnorn
Q2292469,P21,Q6581072,what is the gender of cordelia chase
Q1383959,P19,Q1842,Where was lars krogh gerson born?
Q158599,P264,Q2598277,What label is hed pe signed to
Q213999,P136,Q959790,Which netflix genre does 21 (2008 film) fall under
Q304701,P21,Q6581097,what is the gender of bradley pierce
Q160071,P136,Q1054574,What film genre is twilight considered to be?
Q528159,P19,Q36091,where city in minnesota was catharine mackinnon  born
Q73759,R40,Q9021,Who is Erwin Planck's parent?
Q1174604,R86,Q1243640,what film was david grisman the music contributor
Q47492,R19,Q65055,who was born in gaza city
Q3752621,R19,Q333220,who was born in cowgate?
Q7964940,P21,Q6581097,What is the gender of walter gerth?
Q1362212,P20,Q1022733,where did harold hardman pass away
Q629975,P162,Q3758467,who produced the movie the tourist
Q4528782,P413,Q193592,What position does denis shcherbak play
Q294449,P264,Q1041144,which label is jonathan smith signed to
Q456017,P86,Q346285,what music is on the film amazing grace?
Q236854,P19,Q975,Where was summer glau's place of birth?
Q463733,P58,Q463883,who wrote the film the champ
Q986013,P131,Q491046,What county contains presque isle
Q280658,R413,Q695858,Who was a football forward
Q3302765,P413,Q201330,What soccer position does yusuke kawakita play
Q902695,P19,Q49197,where was david quinn born
Q6581097,R21,Q2300110,what are some names of male characters in the street fighter series?
Q1406718,P27,Q29,What nation is ferdinand columbus from?
Q114213,R1142,Q1471945,which political party has arab nationalism as its political ideology
Q40040,P17,Q155,what country is the amazonas in?
Q140738,R58,Q4155282,what is a work by ivan okhlobystin
Q313372,P106,Q36834,what is francisco tárrega's profession
Q346444,R175,Q900803,What's an album from howie dorough
Q1972743,P19,Q191106,Where was orest miller born?
Q1422746,R136,Q257507,what is an example of an action role-playing game
Q827162,P27,Q30,Where is berry kroeger from
Q1952683,R19,Q5289726,Who was born in Cuckfield?
Q1297,R19,Q220066,what American rock and pop singer was born in chicago
Q443738,P20,Q270,Where in poland did marian lalewicz die
Q133888,P17,Q408,Where are the ashmore and cartier islands located?
Q1259466,P136,Q200092,what kind of movie is the strangers
Q364406,P21,Q6581097,What is kelly slater's gender.
Q3565777,P27,Q30,is walter hampden from the united states or canada
Q108418,R131,Q578150,"What is the name of a city within cook county, illinois"
Q5097389,P27,Q17,what country is chikara sakaguchi from
Q1055,R19,Q123415,who was born in hamburg
Q1190728,P131,Q44823,where is the las colonias department in 
Q400825,P27,Q159,what country is georgi yumatov a citizen of
Q84,R19,Q1681233,Who was born in london?
Q456041,P21,Q6581097,alexandre bilodeau is a member of which gender?
Q266057,P106,Q2405480,What is madeleine martin's profession?
Q864422,P495,Q16,What is the country of origin of haven
Q2008581,P364,Q1860,what is the language used for the show hex 
Q194287,P136,Q9759,what kind of music is joe satriani affiliated with?
Q4714175,P20,Q209055,where did alec james  die again
Q849619,R19,Q11578,who was born in lynwood
Q953461,P31,Q3863,what is the category of 10806 mexico?
Q357102,R50,Q816528,what books have lew wallace written?
Q492342,R19,Q4442572,"who is a person born in fredericksburg, virginia"
Q168704,P19,Q48958,what city was niki de saint phalle born
Q213697,P27,Q145,which country does richard burns hail from
Q1142181,P179,Q7143846,what series is revenge of the pink panther from?
Q4757514,P20,Q1204,what state did andrew johnson die
Q3211591,P179,Q886,what series is fear of flying an episode of 
Q107351,R19,Q4919937,Name a person born in hammerfest
Q1656254,P57,Q4109,who directed i think i love my wife
Q5703252,R40,Q35648,who is helen taft manning's father
Q9256,R59,Q749234,what is the Bayer designation for andromeda (constellation)
Q220,R19,Q81634,who was born in rome
Q10926,R136,Q673187,which album is consider an emo album
Q148198,P61,Q234878,Who discovered 2212 hephaistos
Q30548,P403,Q179751,what is the mouth of hrazdan river
Q1122677,R149,Q212867,which architect uses modernisme 
Q15453534,P20,Q34006,where did monte collins die 
Q4352760,P27,Q145,What country is nigel slater from
Q167243,P19,Q656,where was kseniya rappoport given birth
Q461666,P21,Q6581097,what is the gender of sean dundee
Q747891,P20,Q1190876,where did pat roach die
Q4251066,P27,Q30,john b. calhoun is a citizen of what country?
Q760989,P136,Q130232,how would a person classify moscow on the hudson
Q681007,P40,Q5539709,Who is a child of george gilbert scott
Q176488,P162,Q1378684,who produced halloween resurrection
Q715551,P27,Q35,What country does morten rasmussen have nationality in
Q4820196,P136,Q83440,audrey williams performs which genre of music?
Q131578,R136,Q1341076,What is the name of an album that is apart of j-pop genre?
Q210470,R19,Q310675,Who is an individual born in katerini?
Q3019745,P136,Q660984,What type of music is featured on trans canada highway
Q6895044,R404,Q754335,what is a game that features multiplayer 
Q3087907,P19,Q168376,where was luan garcia teixeira born?
Q924993,P264,Q183387,who is the record label for the orb?
Q57391,R162,Q698458,what film is produced by til schweiger?
Q6783838,R112,Q286627,what is an organization founded by maulana masood azhar
Q76396,R57,Q17029422,which 1939 movie was directed by john brahm
Q463567,P136,Q8341,what kind of music does amina figarova prepare 
Q1254469,P495,Q142,who is someone famous with attention deficit hyperactivity disorder
Q347825,P27,Q30,which country is john campbell from
Q16336935,P19,Q65,what west coast city was bolt birch born in
Q255260,P136,Q200092,what netflix genre is a tale of two sisters?
Q445107,R40,Q91392,who is the parent of drogo of champagne?
Q991773,P21,Q6581097,Is bruce ricker a male or female
Q714331,P27,Q36,Where is robert gadocha from
Q834578,P175,Q151012,who is the musician that created from genesis to revelation
Q255786,P27,Q30,which country is gracie allen from
Q935982,P21,Q6581097,what gender is vagif mustafazade
Q2439654,P21,Q6581097,Is the sex of tom flores female or male?
Q679657,P136,Q130232,what netflix genre is bobby under 
Q972650,P19,Q84,Where was max graham's place of birth?
Q37073,R136,Q2826292,what is the name of a popular Germany-based Iranian pop music singer
Q525,P398,Q146249,which asteroid belt orbits the sun
Q375845,P20,Q2807,which city was johann von vásáry born
Q450928,P106,Q33999,what is the profession of maja ostaszewska?
Q3929070,P21,Q6581097,is raffaele di mario male or female
Q983339,R58,Q3481938,what movie did william gillette do the film story credits for 
Q3679854,P27,Q30,What is the nationality of claudia lonow?
Q3282637,R106,Q6390188,Which man has the occupation of being a film producer?
Q1239133,P50,Q209641,Who is the author of the honourable schoolboy?
Q943447,P364,Q150,what language is fanny in?
Q74882,P19,Q1733,which city was georg albert lücke born
Q147969,P397,Q525,what does 2176 donar orbit around?
Q1637267,P21,Q6581097,"What is the sex of humphrey stafford, earl of stafford?"
