id,question,entities,category,complexityType,answerType,answerLabel,questionType,ents_lbls
e4f8353c,In what country is Sydney Opera House located?,"[{'name': 'Q45178', 'entityType': 'entity', 'label': 'Sydney Opera House', 'mention': 'Sydney Opera House', 'span': [19, 37]}]",geography,generic,entity,Q408,simple,Q45178
02e31eb6,Which city is the capital of Florida?,"[{'name': 'Q812', 'entityType': 'entity', 'label': 'Florida', 'mention': 'Florida', 'span': [29, 36]}]",geography,generic,entity,Q37043,simple,Q812
75bd3726,Where is Moai Statues located?,"[{'name': 'Q20350', 'entityType': 'entity', 'label': 'moai', 'mention': 'Moai Statues', 'span': [9, 21]}]",geography,generic,entity,Q298,simple,Q20350
77389749,What is the capital city of Iraq?,"[{'name': 'Q796', 'entityType': 'entity', 'label': 'Iraq', 'mention': 'Iraq', 'span': [28, 32]}]",geography,generic,entity,Q1530,simple,Q796
d98919f4,Where is the Great Sphinx located?,"[{'name': 'Q130958', 'entityType': 'entity', 'label': 'The Great Sphinx', 'mention': 'Great Sphinx', 'span': [13, 25]}]",geography,generic,entity,Q81788,simple,Q130958
093b9020,What city is the capital of Alabama?,"[{'name': 'Q173', 'entityType': 'entity', 'label': 'Alabama', 'mention': 'Alabama', 'span': [28, 35]}]",geography,generic,entity,Q29364,simple,Q173
2f59ced2,Where is the Statue of Liberty national monument located?,"[{'name': 'Q9202', 'entityType': 'entity', 'label': 'Statue of Liberty', 'mention': 'Statue of Liberty', 'span': [13, 30]}]",geography,generic,entity,Q60,simple,Q9202
2ef118c2,Who designed the Lincoln Memorial's interior central statue titled Abraham Lincoln?,"[{'name': 'Q4669005', 'entityType': 'entity', 'label': 'Statue of Abraham Lincoln', 'mention': 'Abraham Lincoln', 'span': [67, 82]}, {'name': 'Q213559', 'entityType': 'entity', 'label': 'Lincoln Memorial', 'mention': ""Lincoln Memorial's"", 'span': [17, 35]}]",geography,generic,entity,Q720910,simple,"Q4669005, Q213559"
bc38262a,Who is the first African to head the World Health Organization?,"[{'name': 'Q7817', 'entityType': 'entity', 'label': 'World Health Organization', 'mention': 'World Health Organization', 'span': [37, 62]}, {'name': 'Q1075929', 'entityType': 'entity', 'label': 'African people', 'mention': 'African', 'span': [17, 24]}, {'name': 1, 'entityType': 'ordinal', 'mention': 'first', 'span': [11, 16]}]",politics,generic,entity,Q16196017,simple,"Q7817, Q1075929"
a85e28c3,Did Bill Clinton belong to the Republican or Democratic Party?,"[{'name': 'Q29552', 'entityType': 'entity', 'label': 'Democratic Party', 'mention': 'Democratic Party', 'span': [45, 61]}, {'name': 'Q29468', 'entityType': 'entity', 'label': 'Republican Party', 'mention': 'Republican', 'span': [31, 41]}, {'name': 'Q1124', 'entityType': 'entity', 'label': 'Bill Clinton', 'mention': 'Bill Clinton', 'span': [4, 16]}]",politics,generic,entity,Q29552,simple,"Q29552, Q29468, Q1124"
a24d0cd9,Who is the current governor of Alaska?,"[{'name': 'Q797', 'entityType': 'entity', 'label': 'Alaska', 'mention': 'Alaska', 'span': [31, 37]}]",politics,generic,entity,Q16209663,simple,Q797
7fd21f12,Who is the current governor of Texas?,"[{'name': 'Q1439', 'entityType': 'entity', 'label': 'Texas', 'mention': 'Texas', 'span': [31, 36]}]",politics,generic,entity,Q5605224,simple,Q1439
49727c08,Who is the current emperor of Japan?,"[{'name': 'Q17', 'entityType': 'entity', 'label': 'Japan', 'mention': 'Japan', 'span': [30, 35]}]",politics,generic,entity,Q217096,simple,Q17
0f3b2deb,John F. Kennedy was a part of which political party?,"[{'name': 'Q9696', 'entityType': 'entity', 'label': 'John F. Kennedy', 'mention': 'John F. Kennedy', 'span': [0, 15]}]",politics,generic,entity,Q29552,simple,Q9696
5282f7a6,Who is the current queen of Denmark?,"[{'name': 'Q35', 'entityType': 'entity', 'label': 'Denmark', 'mention': 'Denmark', 'span': [28, 35]}]",politics,generic,entity,Q102139,simple,Q35
d3eddeb2,What is the form of government for the country of Oman?,"[{'name': 'Q842', 'entityType': 'entity', 'label': 'Oman', 'mention': 'Oman', 'span': [50, 54]}]",politics,generic,entity,Q184558,simple,Q842
4c651029,Who was the president that signed the Monroe Doctrine?,"[{'name': 'Q181026', 'entityType': 'entity', 'label': 'Monroe Doctrine', 'mention': 'Monroe Doctrine', 'span': [38, 53]}, {'name': 'Q11696', 'entityType': 'entity', 'label': 'President of the United States', 'mention': 'president', 'span': [12, 21]}]",politics,generic,entity,Q11815,simple,"Q181026, Q11696"
f30220e6,Who was Gerald Ford's wife and First Lady?,"[{'name': 'Q203184', 'entityType': 'entity', 'label': 'First Lady', 'mention': 'First Lady', 'span': [31, 41]}, {'name': 'Q9582', 'entityType': 'entity', 'label': 'Gerald Ford', 'mention': ""Gerald Ford's"", 'span': [8, 21]}]",politics,generic,entity,Q213122,simple,"Q203184, Q9582"
972094a8,"What president grew up on a peanut farm in Plains, Georgia?","[{'name': 'Q608527', 'entityType': 'entity', 'label': 'Plains', 'mention': 'Plains, Georgia', 'span': [43, 58]}]",politics,generic,entity,Q23685,simple,Q608527
d9971c31,What city was Alexander the Great born in?,"[{'name': 'Q8409', 'entityType': 'entity', 'label': 'Alexander the Great', 'mention': 'Alexander the Great', 'span': [14, 33]}]",history,generic,entity,Q213679,simple,Q8409
d3238894,Who founded the Tan Dynasty?,"[{'name': 'Q9683', 'entityType': 'entity', 'label': 'Tang Empire', 'mention': 'Tan Dynasty', 'span': [16, 27]}]",history,generic,entity,Q9700,simple,Q9683
c1d07063,What present day country was Paracas Ancient South American culture formerly found in?,"[{'name': 'Q7394394', 'entityType': 'entity', 'label': 'South American', 'mention': 'South American', 'span': [45, 59]}, {'name': 'Q1641076', 'entityType': 'entity', 'label': 'Paracas', 'mention': 'Paracas', 'span': [29, 36]}]",history,generic,entity,Q419,simple,"Q7394394, Q1641076"
1c005b1f,Who was the president of the United States during the Civil War?,"[{'name': 'Q8676', 'entityType': 'entity', 'label': 'American Civil War', 'mention': 'Civil War', 'span': [54, 63]}, {'name': 'Q30', 'entityType': 'entity', 'label': 'United States of America', 'mention': 'United States', 'span': [29, 42]}]",history,generic,entity,Q91,simple,"Q8676, Q30"
993e04f0,Who killed Abraham Lincoln?,"[{'name': 'Q91', 'entityType': 'entity', 'label': 'Abraham Lincoln', 'mention': 'Abraham Lincoln', 'span': [11, 26]}]",history,generic,entity,Q180914,simple,Q91
1af1ce85,"In the late 1940s, who invented c-14 dating?","[{'name': 'Q173412', 'entityType': 'entity', 'label': 'radiocarbon dating', 'mention': 'c-14 dating', 'span': [32, 43]}, {'name': '1940:1949', 'entityType': 'date', 'mention': 'the late 1940s', 'span': [3, 17]}]",history,generic,entity,Q190486,simple,Q173412
69dbae38,What civilization was Hannibal from?,"[{'name': 'Q36456', 'entityType': 'entity', 'label': 'Hannibal', 'mention': 'Hannibal', 'span': [22, 30]}]",history,generic,entity,Q6343,simple,Q36456
3aef72ee,What pharaoh was the Great Pyramid built under?,"[{'name': 'Q37200', 'entityType': 'entity', 'label': 'Great Pyramid of Giza', 'mention': 'Great Pyramid', 'span': [21, 34]}]",history,generic,entity,Q161904,simple,Q37200
7dbdfbf2,The Kings play in which NBA city?,"[{'name': 'Q155223', 'entityType': 'entity', 'label': 'National Basketball Association', 'mention': 'NBA', 'span': [24, 27]}, {'name': 'Q166105', 'entityType': 'entity', 'label': 'Sacramento Kings', 'mention': 'Kings', 'span': [4, 9]}]",sports,generic,entity,Q18013,simple,"Q155223, Q166105"
c9ce0587,What city is the Pantheon located in?,"[{'name': 'Q99309', 'entityType': 'entity', 'label': 'Pantheon', 'mention': 'Pantheon', 'span': [17, 25]}]",geography,generic,entity,Q220,simple,Q99309
3cade497,Angkor Wat can be found in which country?,"[{'name': 'Q43473', 'entityType': 'entity', 'label': 'Angkor Wat', 'mention': 'Angkor Wat', 'span': [0, 10]}]",geography,generic,entity,Q424,simple,Q43473
a71352b7,What is the main political party in China?,"[{'name': 'Q148', 'entityType': 'entity', 'label': ""People's Republic of China"", 'mention': 'China', 'span': [36, 41]}]",politics,generic,entity,Q17427,simple,Q148
a0dacedc,What is the name of Mario's brother?,"[{'name': 'Q12379', 'entityType': 'entity', 'label': 'Mario', 'mention': ""Mario's"", 'span': [20, 27]}]",videogames,generic,entity,Q210593,simple,Q12379
eedb02c1,Who is the composer for the soundtrack of Gravity Rush 2?,"[{'name': 'Q23013629', 'entityType': 'entity', 'label': 'Gravity Rush 2', 'mention': 'Gravity Rush 2', 'span': [42, 56]}]",videogames,generic,entity,Q2562073,simple,Q23013629
fda8421b,Who is Mario's brother in the Mario Brothers video game series?,"[{'name': 'Q12379', 'entityType': 'entity', 'label': 'Mario', 'mention': ""Mario's"", 'span': [7, 14]}, {'name': 'Q37817870', 'entityType': 'entity', 'label': 'Mario Bros.', 'mention': 'Mario Brothers', 'span': [30, 44]}]",videogames,generic,entity,Q210593,simple,"Q12379, Q37817870"
