uid,question,subject,props,query,tag,answers
48,From what breed of fish was the aquarium goldfish bred in ancient China?,Q123141,wdt:P171,"SELECT ?answer 
WHERE {
  wd:Q123141 wdt:P171 ?answer
}",1-hop,Q237800
49,What dynasty did Richard the Lionheart belong to?,Q42305,wdt:P53,"SELECT ?answer 
WHERE {
  wd:Q42305 wdt:P53 ?answer
}",1-hop,Q106151
50,What was the name of Alexander the great's horse?,Q8409,wdt:P3091,"SELECT ?answer 
WHERE {
  wd:Q8409 wdt:P3091 ?answer
}",1-hop,Q201598
51,What was the name of Alexander the great's mother?,Q8409,wdt:P25,"SELECT ?answer 
WHERE {
  wd:Q8409 wdt:P25 ?answer
}",1-hop,Q223134
52,How else is Christmas eve called?,Q19809,wdt:P155,"SELECT ?answer 
WHERE {
  wd:Q19809 wdt:P155 ?answer
}",1-hop,Q106010
53,What is the name of the administrative center of the state of Alaska?,Q797,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q797 wdt:P36 ?answer
}",1-hop,Q29445
54,What is the title of Karl Marx's main work?,Q9061,wdt:P800,"SELECT ?answer 
WHERE {
  wd:Q9061 wdt:P800 ?answer
}",1-hop,"Q40591, Q58784, Q295347, Q470600"
55,What is the name of the capital of Cambodia?,Q424,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q424 wdt:P36 ?answer
}",1-hop,Q1850
58,What is the name of money in Honduras?,Q783,wdt:P38,"SELECT ?answer 
WHERE {
  wd:Q783 wdt:P38 ?answer
}",1-hop,Q4719
59,"What harmless creature has the strange name ""Deadhead""?",Q312009,wdt:P171,"SELECT ?answer 
WHERE {
  wd:Q312009 wdt:P171 ?answer
}",1-hop,Q157683
60,What city on the black sea coast was called Kafa?,Q4135566,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q4135566 wdt:P131 ?answer
}",1-hop,Q158491
61,Which city is located on the southern shore of the Golden Gate Strait?,Q220032,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q220032 wdt:P131 ?answer
}",1-hop,Q62
62,Which city is the administrative center of the state of new York?,Q1384,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1384 wdt:P36 ?answer
}",1-hop,Q24861
63,Which city is the capital of Nigeria?,Q1033,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1033 wdt:P36 ?answer
}",1-hop,Q3787
66,What musical instrument made Louis Armstrong's name famous?,Q1779,wdt:P1303,"SELECT ?answer 
WHERE {
  wd:Q1779 wdt:P1303 ?answer
}",1-hop,"Q8338, Q202027, Q17172850"
67,Which country does KLM belong to?,Q181912,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q181912 wdt:P17 ?answer
}",1-hop,Q55
69,"What Museum is the ""Mona Lisa"" by the great Leonardo?",Q12418,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q12418 wdt:P276 ?answer
}",1-hop,Q19675
70,"What path did the Frenchman Michel de Montaigne choose in the fifth decade, after having had a good fight on the side of Henry IV, what did he become?",Q41568,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q41568 wdt:P106 ?answer
}",1-hop,"Q36180, Q82955, Q185351, Q333634, Q1209498, Q1297719, Q4964182, Q11774202, Q18814623"
71,"What country did the Romans call ""Caledonia""?",Q1048625,wdt:P1382,"SELECT ?answer 
WHERE {
  wd:Q1048625 wdt:P1382 ?answer
}",1-hop,Q22
72,"To whom do the words ""and you, Brutus"" belong?",Q617371,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q617371 wdt:P50 ?answer
}",1-hop,Q1048
73,"To whom do the words ""I think, therefore I exist"" belong?",Q192325,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q192325 wdt:P50 ?answer
}",1-hop,Q9191
75,"Who is the author of the work ""women Scientists""?",Q1218375,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q1218375 wdt:P50 ?answer
}",1-hop,Q687
77,"Who is the author of the novel ""Spartacus""?",Q4430718,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4430718 wdt:P50 ?answer
}",1-hop,Q1860923
78,Who laid the foundations of Cybernetics?,Q123637,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q123637 wdt:P61 ?answer
}",1-hop,Q178577
79,"Who wrote the story-tale ""the adventures of Pinocchio""?",Q8065468,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q8065468 wdt:P50 ?answer
}",1-hop,Q199588
80,"Who wrote the poem ""Paradise Lost""?",Q28754,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q28754 wdt:P50 ?answer
}",1-hop,Q79759
81,"Who wrote the poem ""the Black man""?",Q4518933,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4518933 wdt:P50 ?answer
}",1-hop,Q31628
83,"Who wrote the fairy tale ""Dwarf Nose""?",Q8109325,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q8109325 wdt:P50 ?answer
}",1-hop,Q57966
85,"Who sailed on the papyrus boat "" RA ""and on the raft ""Kon-Tiki""?",Q3203414,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q3203414 wdt:P50 ?answer
}",1-hop,Q133622
86,Who came up with Alice Seleznev?,Q4062421,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q4062421 wdt:P170 ?answer
}",1-hop,Q360292
87,Who invented the Commissioner Maigret.,Q830561,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q830561 wdt:P170 ?answer
}",1-hop,Q128790
88,Who invented the character named Anastasia Kamenskaya?,Q4064914,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q4064914 wdt:P170 ?answer
}",1-hop,Q236233
91,"Who composed ""sabre Dance""?",Q1442972,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q1442972 wdt:P86 ?answer
}",1-hop,Q152293
93,Which music group was Fred mercury the leader of?,Q15869,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q15869 wdt:P361 ?answer
}",1-hop,Q15862
94,What planet was Luke Skywalker born on?,Q51746,wdt:P1165,"SELECT ?answer 
WHERE {
  wd:Q51746 wdt:P1165 ?answer
}",1-hop,Q723764
95,What is the capital of the Republic is Tegucigalpa?,Q3238,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q3238 wdt:P17 ?answer
}",1-hop,Q783
97,Which architect built St. Isaac's Cathedral in St. Petersburg?,Q215423,wdt:P84,"SELECT ?answer 
WHERE {
  wd:Q215423 wdt:P84 ?answer
}",1-hop,Q767288
98,Which Russian poet was the husband of the famous dancer Isadora Duncan?,Q483512,wdt:P26,"SELECT ?answer 
WHERE {
  wd:Q483512 wdt:P26 ?answer
}",1-hop,Q31628
99,"The country to which the ""Church"" wine owes its origin is Cahors",Q1025792,wdt:P495,"SELECT ?answer 
WHERE {
  wd:Q1025792 wdt:P495 ?answer
}",1-hop,Q142
100,Which building in Hanoi was dubbed the Hanoi Hilton by American soldiers?,Q1359941,wdt:P31,"SELECT ?answer 
WHERE {
  wd:Q1359941 wdt:P31 ?answer
}",1-hop,Q40357
102,"Who said ""and you, Brutus""?",Q617371,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q617371 wdt:P50 ?answer
}",1-hop,Q1048
103,What country is the city of Bryansk located in?,Q2801,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q2801 wdt:P17 ?answer
}",1-hop,Q159
105,In which theater did Vladimir Vysotsky perform?,Q512,wdt:P108,"SELECT ?answer 
WHERE {
  wd:Q512 wdt:P108 ?answer
}",1-hop,"Q2064699, Q4304132"
106,Where is Uttar Pradesh located,Q1498,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q1498 wdt:P131 ?answer
}",1-hop,Q668
110,"What was the name of father Romulus, after whom the Romans even altered their calendar?",Q2186,wdt:P22,"SELECT ?answer 
WHERE {
  wd:Q2186 wdt:P22 ?answer
}",1-hop,Q112
111,What is the name of the city in the United States where the world-famous Harvard University is located?,Q13371,wdt:P159,"SELECT ?answer 
WHERE {
  wd:Q13371 wdt:P159 ?answer
}",1-hop,Q49111
112,What is stamp collecting called?,Q856075,wdt:P460,"SELECT ?answer 
WHERE {
  wd:Q856075 wdt:P460 ?answer
}",1-hop,Q131026
114,"What single combat brought the Hollywood star Jean-Claude van Damme the nickname "" muscles from Brussels""",Q308840,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q308840 wdt:P641 ?answer
}",1-hop,Q11419
117,Which hero served as the prototype for A. Tolstoy to create the image of Pinocchio?,Q1810078,wdt:P941,"SELECT ?answer 
WHERE {
  wd:Q1810078 wdt:P941 ?answer
}",1-hop,Q6502703
119,What artist made the zaporozhtzi write a letter to the Turkish Sultan?,Q478271,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q478271 wdt:P170 ?answer
}",1-hop,Q172911
120,Which party is headed by Zhirinovsky (abbrev.)?,Q200015,wdt:P102,"SELECT ?answer 
WHERE {
  wd:Q200015 wdt:P102 ?answer
}",1-hop,Q212115
124,What Chinese dynasty was founded by Xiao Yan,Q736726,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q736726 wdt:P27 ?answer
}",1-hop,Q1069868
126,What happens if you transform napoleonder,Q733369,wdt:P186,"SELECT ?answer 
WHERE {
  wd:Q733369 wdt:P186 ?answer
}",1-hop,Q897
128,What country is Bangkok?,Q1861,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q1861 wdt:P17 ?answer
}",1-hop,Q869
130,Where is mount Athos-the Holy mountain?,Q130321,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q130321 wdt:P17 ?answer
}",1-hop,Q41
134,What fate awaited Hitler?,Q352,wdt:P1196,"SELECT ?answer 
WHERE {
  wd:Q352 wdt:P1196 ?answer
}",1-hop,Q10737
135,Where does the Ussuri river flow?,Q207777,wdt:P403,"SELECT ?answer 
WHERE {
  wd:Q207777 wdt:P403 ?answer
}",1-hop,Q6862
137,Which river flows into the Dead sea?,Q23883,wdt:P200,"SELECT ?answer 
WHERE {
  wd:Q23883 wdt:P200 ?answer
}",1-hop,Q40059
139,What river is the city of Baghdad on?,Q1530,wdt:P206,"SELECT ?answer 
WHERE {
  wd:Q1530 wdt:P206 ?answer
}",1-hop,Q35591
140,What day is Valentine's day celebrated?,Q37587,wdt:P837,"SELECT ?answer 
WHERE {
  wd:Q37587 wdt:P837 ?answer
}",1-hop,Q2332
141,"In what land of Germany is the ancient city of Weimar, where the museums of Goethe, Schiller And Liszt are located?",Q3955,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q3955 wdt:P131 ?answer
}",1-hop,Q1205
142,What is the name of the monetary unit of Aomin (Macao)?,Q14773,wdt:P38,"SELECT ?answer 
WHERE {
  wd:Q14773 wdt:P38 ?answer
}",1-hop,"Q31015, Q241214"
143,What city was Ludwig van Beethoven born in?,Q255,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q255 wdt:P19 ?answer
}",1-hop,Q586
144,Where was the great Russian self-taught inventor Ivan Petrovich Kulibin from?,Q982211,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q982211 wdt:P19 ?answer
}",1-hop,Q891
146,What illness did Beethoven develop in the last years of his life?,Q255,wdt:P1050,"SELECT ?answer 
WHERE {
  wd:Q255 wdt:P1050 ?answer
}",1-hop,"Q1472, Q12133, Q35869, Q41083, Q110315, Q131742, Q147778, Q193894, Q653078, Q2025687, Q2035074, Q3144986"
147,"Who are ""porpoises""?",Q10867,wdt:P171,"SELECT ?answer 
WHERE {
  wd:Q10867 wdt:P171 ?answer
}",1-hop,Q144144
148,What science fiction writer came up with the three laws of robotics?,Q23758,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q23758 wdt:P50 ?answer
}",1-hop,Q34981
149,What sport glorified the name of Sergey Bubka?,Q184556,wdt:P2416,"SELECT ?answer 
WHERE {
  wd:Q184556 wdt:P2416 ?answer
}",1-hop,Q185027
150,What musical instrument glorified Vera Dulova?,Q754361,wdt:P1303,"SELECT ?answer 
WHERE {
  wd:Q754361 wdt:P1303 ?answer
}",1-hop,Q47369
151,"Which country belongs to the island of Madeira, which gave the name to the strong wine of Madeira?",Q30188,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q30188 wdt:P17 ?answer
}",1-hop,Q45
152,What an animal (and only it!) produces the ambergris?,Q188774,wdt:P1582,"SELECT ?answer 
WHERE {
  wd:Q188774 wdt:P1582 ?answer
}",1-hop,Q81214
153,Where is the Rockefeller Plateau?,Q370807,wdt:P30,"SELECT ?answer 
WHERE {
  wd:Q370807 wdt:P30 ?answer
}",1-hop,Q51
155,"Who was the famous Greek Aristotle, who lived in the IV century BC?",Q868,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q868 wdt:P106 ?answer
}",1-hop,Q4964182
157,"Who is the author of the lines: ""White sail lonely...""?",Q15723090,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q15723090 wdt:P50 ?answer
}",1-hop,Q46599
160,Which city is the capital of the Republic of Buryatia?,Q6809,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q6809 wdt:P36 ?answer
}",1-hop,Q6816
161,Where is the Iberian Peninsula located?,Q12837,wdt:P30,"SELECT ?answer 
WHERE {
  wd:Q12837 wdt:P30 ?answer
}",1-hop,Q46
162,Where is the Plesetsk cosmodrome located?,Q15778,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q15778 wdt:P276 ?answer
}",1-hop,Q1875
163,Which city is the capital of Chuvashia?,Q5466,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q5466 wdt:P36 ?answer
}",1-hop,Q5470
165,What was Munchausen's title?,Q77066,wdt:P97,"SELECT ?answer 
WHERE {
  wd:Q77066 wdt:P97 ?answer
}",1-hop,Q165503
166,What science studies the atmosphere and its composition?,Q3230,wdt:P2579,"SELECT ?answer 
WHERE {
  wd:Q3230 wdt:P2579 ?answer
}",1-hop,"Q25261, Q46255"
167,What metal is necessarily present in the amalgam?,Q182574,wdt:P527,"SELECT ?answer 
WHERE {
  wd:Q182574 wdt:P527 ?answer
}",1-hop,Q925
168,The country in which the population was horrified by the TONTON-makuty?,Q923766,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q923766 wdt:P17 ?answer
}",1-hop,Q790
169,What was the name of the capital of the Aztec state?,Q2608489,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q2608489 wdt:P36 ?answer
}",1-hop,Q13695
170,In which city is the airport named after John Lennon,Q8727,wdt:P931,"SELECT ?answer 
WHERE {
  wd:Q8727 wdt:P931 ?answer
}",1-hop,Q24826
171,Who is credited with discovering the path of human evolution?,Q1063,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q1063 wdt:P61 ?answer
}",1-hop,"Q1035, Q82122"
172,Which of the characters in Tolstoy's novel War and peace is Natasha Rostova's husband?,Q2568764,wdt:P26,"SELECT ?answer 
WHERE {
  wd:Q2568764 wdt:P26 ?answer
}",1-hop,Q2568844
174,Who created the site in Contact?,Q116933,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q116933 wdt:P170 ?answer
}",1-hop,Q149067
175,In which track and field discipline was Bob Beamon's 1968 Olympic record broken only in 1991,Q52604,wdt:P2416,"SELECT ?answer 
WHERE {
  wd:Q52604 wdt:P2416 ?answer
}",1-hop,Q170737
178,What river is the city of Saratov on?,Q5332,wdt:P206,"SELECT ?answer 
WHERE {
  wd:Q5332 wdt:P206 ?answer
}",1-hop,Q626
179,In what field of science did Sofia Kovalevskaya's outstanding abilities manifest themselves?,Q184535,wdt:P101,"SELECT ?answer 
WHERE {
  wd:Q184535 wdt:P101 ?answer
}",1-hop,"Q395, Q7754, Q41217, Q149999, Q56114489"
180,"Who wrote the text of the Russian anthem ""God save the Tsar""?",Q478470,wdt:P676,"SELECT ?answer 
WHERE {
  wd:Q478470 wdt:P676 ?answer
}",1-hop,Q157623
181,Which country does the Shantar Islands belong to?,Q338279,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q338279 wdt:P17 ?answer
}",1-hop,Q159
182,Which of the great Renaissance artists painted the Sistine chapel of the Vatican?,Q844675,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q844675 wdt:P170 ?answer
}",1-hop,Q5592
184,What river is Tver on?,Q2288,wdt:P206,"SELECT ?answer 
WHERE {
  wd:Q2288 wdt:P206 ?answer
}",1-hop,Q626
185,What is the official language of Ethiopia?,Q115,wdt:P37,"SELECT ?answer 
WHERE {
  wd:Q115 wdt:P37 ?answer
}",1-hop,Q28244
187,Which city is the administrative center (capital) of the state of Texas?,Q1439,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1439 wdt:P36 ?answer
}",1-hop,Q16559
188,Who killed Pyotr Stolypin?,Q138487,wdt:P157,"SELECT ?answer 
WHERE {
  wd:Q138487 wdt:P157 ?answer
}",1-hop,Q944527
189,"One of the fighters for civil rights belongs to the phrase ""I Have a dream...""?",Q192341,wdt:P823,"SELECT ?answer 
WHERE {
  wd:Q192341 wdt:P823 ?answer
}",1-hop,Q8027
191,Which city is the capital of the Swiss Confederation?,Q39,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q39 wdt:P36 ?answer
}",1-hop,Q70
192,In which constellation is the brightest star called VEGA?,Q3427,wdt:P59,"SELECT ?answer 
WHERE {
  wd:Q3427 wdt:P59 ?answer
}",1-hop,Q10484
193,Who won the Miss World pageant in 1994?,Q2635649,wdt:P1346,"SELECT ?answer 
WHERE {
  wd:Q2635649 wdt:P1346 ?answer
}",1-hop,Q47059
195,In what city did the collaborationist Petain government settle during the occupation of France by German troops?,Q5721,wdt:P937,"SELECT ?answer 
WHERE {
  wd:Q5721 wdt:P937 ?answer
}",1-hop,Q93351
196,"Who created the Leicester code, a notebook of scientific papers that bill gates purchased for $ 30 million?",Q683814,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q683814 wdt:P50 ?answer
}",1-hop,Q762
197,What type of ship was the Korean that fought bravely with the Varangian against the Japanese squadron?,Q1784376,wdt:P31,"SELECT ?answer 
WHERE {
  wd:Q1784376 wdt:P31 ?answer
}",1-hop,Q214196
198,What are the names of Armenian banknotes?,Q399,wdt:P38,"SELECT ?answer 
WHERE {
  wd:Q399 wdt:P38 ?answer
}",1-hop,Q130498
199,What unit in the SI system is named after the inventor Nikola Tesla?,Q163343,wdt:P111,"SELECT ?answer 
WHERE {
  wd:Q163343 wdt:P111 ?answer
}",1-hop,Q30204
200,"Who wrote the fairy tale ""the Sleeping Princess""?",Q19221647,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q19221647 wdt:P50 ?answer
}",1-hop,Q157623
201,What country is the city of Antwerp located in?,Q12892,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q12892 wdt:P17 ?answer
}",1-hop,Q31
202,In which country did Sirimavo Bandaranaike become the first female Prime Minister in 1960?,Q194291,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q194291 wdt:P27 ?answer
}",1-hop,Q854
204,In what city was born the famous actress Faina Ranevskaya?,Q470466,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q470466 wdt:P19 ?answer
}",1-hop,Q170513
205,In what city was the prophet Muhammad (Mohammed) born?,Q9458,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q9458 wdt:P19 ?answer
}",1-hop,Q5806
206,What style did the architect Rastrelli work in?,Q299687,wdt:P135,"SELECT ?answer 
WHERE {
  wd:Q299687 wdt:P135 ?answer
}",1-hop,Q37853
208,What was the name of don Quixote's horse?,Q944201,wdt:P3091,"SELECT ?answer 
WHERE {
  wd:Q944201 wdt:P3091 ?answer
}",1-hop,Q1918252
210,Where does the Royal house of Bernadotte rule?,Q201625,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q201625 wdt:P17 ?answer
}",1-hop,Q34
212,On which river is the famous Victoria falls located?,Q43278,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q43278 wdt:P361 ?answer
}",1-hop,Q43106
213,In what region of Russia is the ancient city of Sarapul located?,Q193505,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q193505 wdt:P131 ?answer
}",1-hop,Q5422
214,Which city is the capital of the state of Alaska?,Q797,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q797 wdt:P36 ?answer
}",1-hop,Q29445
216,In some of the countries there are the resorts Sunny Day and Sunny Beach?,Q1011039,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q1011039 wdt:P17 ?answer
}",1-hop,Q219
217,"Which country's son was Edmund Hillary, the first to conquer Everest with Sherpa N. Tenzing?",Q33817,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q33817 wdt:P27 ?answer
}",1-hop,Q664
218,What island is the Fujiyama volcano located on?,Q39231,wdt:P706,"SELECT ?answer 
WHERE {
  wd:Q39231 wdt:P706 ?answer
}",1-hop,Q13989
219,What is the playing role of the football player Igor Akinfeev?,Q203002,wdt:P413,"SELECT ?answer 
WHERE {
  wd:Q203002 wdt:P413 ?answer
}",1-hop,Q201330
220,"In which city the action is the story of Mark TWAIN's ""the Prince and the pauper""?",Q2628907,wdt:P840,"SELECT ?answer 
WHERE {
  wd:Q2628907 wdt:P840 ?answer
}",1-hop,Q84
223,In which city is the Prado Museum located?,Q160112,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q160112 wdt:P131 ?answer
}",1-hop,Q2807
225,Where is Tantalum cave?,Q620269,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q620269 wdt:P17 ?answer
}",1-hop,Q40
226,"Which band recorded the musical album ""Actress Spring""?",Q3648594,wdt:P175,"SELECT ?answer 
WHERE {
  wd:Q3648594 wdt:P175 ?answer
}",1-hop,Q949424
